address,distance,distance_type,rating,capaciity,area,price
danang,10000,km,68,1,300,7000000
danang,2500,km,100,1,71,1000000
danang,9600,km,90,1,90,2500000
danang,1000,km,85,1,270,5130000
danang,3200,km,70,1,280,3100000
danang,12400,km,79,1,85,1496250
danang,9000,km,90,1,60,1600000
danang,3000,km,83,1,100,2565000
danang,1300,km,100,1,300,3847500
danang,12400,km,70,1,70,2000000
danang,4600,km,95,1,140,3325000
danang,1700,km,80,1,750,2950000
danang,4900,km,100,1,350,8500000
danang,12400,km,87,1,270,4370000
danang,3400,km,10,1,65,1800000
danang,12400,km,82,1,85,1748000
danang,3400,km,87,1,50,799200
danang,3400,km,85,1,52,850000
danang,3600,km,82,1,150,558600
danang,2700,km,100,1,700,16129032
danang,7800,km,100,1,78,13723249
danang,1400,km,95,1,55,405000
danang,3200,km,93,1,40,831060
danang,3900,km,93,1,45,801970
danang,3300,km,10,1,75,720000
danang,4500,km,100,1,20,3000000
danang,5100,km,80,1,40,1552500
danang,2500,km,10,1,134,1152000
danang,3400,km,83,1,68,1199000
danang,3400,km,100,1,280,1550000
danang,2500,km,100,1,700,20161290
danang,3400,km,73,1,70,855000
danang,2800,km,100,1,700,16129032
danang,5000,km,88,1,430,8000000
danang,3800,km,45,1,55,495720
danang,3400,km,70,1,70,1200000
danang,4000,km,76,1,580,9702000
danang,10000,km,75,1,600,6750000
danang,1400,km,87,1,38,586530
danang,3400,km,97,1,68,945000
danang,2300,km,87,1,30,648000
danang,4600,km,80,1,50,520000
danang,3500,km,10,1,41,1000000
danang,3000,km,92,1,35,540000
danang,3400,km,60,1,60,1200000
danang,5000,km,92,1,200,2378902
danang,1000,km,80,1,63,1045000
danang,5000,km,30,1,400,9000000
danang,12400,km,100,1,832,17500000
danang,3400,km,75,1,65,1600000
danang,3600,km,97,1,150,651700
danang,2700,km,90,1,50,540000
danang,4900,km,100,1,300,4657500
danang,3000,km,90,1,37,552500
danang,2300,km,84,1,38,400000
danang,3400,km,100,1,50,720000
danang,3400,km,85,1,40,562000
danang,3900,km,84,1,32,586625
danang,2500,km,100,1,350,3069000
danang,2700,km,100,1,70,1757500
danang,2100,km,93,1,38,639000
danang,3600,km,97,1,40,800000
danang,10900,km,90,1,50,950000
danang,2600,km,93,1,27,429300
danang,2500,km,92,1,800,8900000
danang,2600,km,65,1,35,1125000
danang,1300,km,98,1,32,598000
danang,1700,km,98,1,210,1403415
danang,12200,km,90,1,390,4968000
danang,4900,km,100,1,450,6000000
danang,11000,km,78,1,270,4264313
danang,5000,km,100,1,400,13297577
danang,3400,km,89,1,68,1140000
danang,2900,km,89,1,32,350000
danang,1600,km,85,1,45,825000
danang,3400,km,65,1,70,1300000
danang,3300,km,86,1,70,1400000
danang,3200,km,80,1,300,3077424
danang,2300,km,91,1,40,450000
danang,3400,km,77,1,75,1100000
danang,12300,km,86,1,333,7431944
danang,2600,km,91,1,30,559000
danang,3400,km,81,1,60,1080000
danang,12300,km,100,1,312,5687500
danang,2900,km,93,1,28,900000
danang,3800,km,10,1,35,392040
danang,8000,km,88,1,626,20016456
danang,3400,km,86,1,100,2375000
danang,3400,km,57,1,70,1233100
danang,600,km,79,1,35,1000000
danang,1100,km,97,1,40,980000
danang,1900,km,69,1,30,404950
danang,3400,km,95,1,70,1000000
danang,4800,km,78,1,330,9669534
danang,3000,km,94,1,30,470000
danang,12100,km,50,1,70,3000000
danang,3900,km,93,1,500,3968604
danang,3300,km,94,1,40,769500
danang,3400,km,82,1,60,1665000
danang,2900,km,95,1,28,407550
danang,3000,km,93,1,101,2500000
danang,6700,km,85,1,25,282150
danang,3300,km,90,1,450,2945000
danang,800,km,77,1,45,508725
danang,3900,km,94,1,45,1330000
danang,4900,km,67,1,515,11128296
